"","site","date","spacing_m","temp_avg","sal_avg","dist_from_bags","reclaimed","absent","consumed"
"228","styron",20200814,4,27.8,30,2.5,20,3,"0"
"229","styron",20200814,4,27.8,30,2.5,20,3,"0"
"230","styron",20200814,4,27.8,30,2.5,20,3,"0"
"231","styron",20200814,4,27.8,30,2.5,20,3,"0"
"232","styron",20200814,4,27.8,30,2.5,20,3,"0"
"233","styron",20200814,4,27.8,30,2.5,20,3,"0"
"234","styron",20200814,4,27.8,30,2.5,20,3,"0"
"235","styron",20200814,4,27.8,30,2.5,20,3,"0"
"236","styron",20200814,4,27.8,30,2.5,20,3,"0"
"237","styron",20200814,4,27.8,30,2.5,20,3,"0"
"238","styron",20200814,4,27.8,30,5,20,1,"0"
"239","styron",20200814,4,27.8,30,5,20,1,"0"
"240","styron",20200814,4,27.8,30,5,20,1,"0"
"241","styron",20200814,4,27.8,30,5,20,1,"0"
"242","styron",20200814,4,27.8,30,5,20,1,"0"
"243","styron",20200814,4,27.8,30,5,20,1,"0"
"244","styron",20200814,4,27.8,30,5,20,1,"0"
"245","styron",20200814,4,27.8,30,5,20,1,"0"
"246","styron",20200814,4,27.8,30,5,20,1,"0"
"247","styron",20200814,4,27.8,30,5,20,1,"0"
"248","styron",20200814,4,27.8,30,5,20,1,"0"
"249","styron",20200814,4,27.8,30,5,20,1,"0"
"250","styron",20200814,4,27.8,30,5,20,1,"0"
"251","styron",20200814,4,27.8,30,5,20,1,"0"
"252","styron",20200814,4,27.8,30,5,20,1,"0"
"253","styron",20200814,4,27.8,30,5,20,1,"0"
"254","styron",20200814,4,27.8,30,5,20,1,"0"
"255","styron",20200814,4,27.8,30,5,20,1,"0"
"256","styron",20200814,4,27.8,30,5,20,1,"0"
"257","styron",20200814,4,27.8,30,10,20,2,"1"
"258","styron",20200814,4,27.8,30,10,20,2,"0"
"259","styron",20200814,4,27.8,30,10,20,2,"0"
"260","styron",20200814,4,27.8,30,10,20,2,"0"
"261","styron",20200814,4,27.8,30,10,20,2,"0"
"262","styron",20200814,4,27.8,30,10,20,2,"0"
"263","styron",20200814,4,27.8,30,10,20,2,"0"
"264","styron",20200814,4,27.8,30,10,20,2,"0"
"265","styron",20200814,4,27.8,30,10,20,2,"0"
"266","styron",20200814,4,27.8,30,10,20,2,"0"
"267","styron",20200814,4,27.8,30,10,20,2,"0"
"268","styron",20200814,4,27.8,30,10,20,2,"0"
"269","styron",20200814,4,27.8,30,10,20,2,"0"
